period_utc,from_ba,to_ba,net_mwh
2026-06-11 13:00:00+00:00,SOCO,TVA,2088.530697506968
2026-06-11 13:00:00+00:00,SWPP,ERCO,-2101.410606141793
2026-06-11 13:00:00+00:00,SWPP,MISO,-1992.4170984965408
2026-06-11 13:00:00+00:00,TVA,SOCO,-2006.7527533431926
2026-06-11 13:00:00+00:00,WACM,AZPS,-1959.227567493658
2026-06-11 14:00:00+00:00,AZPS,WACM,1903.9616469770929
2026-06-11 14:00:00+00:00,BANC,CISO,-1832.5677041243803
2026-06-11 14:00:00+00:00,BPAT,PACW,1836.5141861117481
2026-06-11 14:00:00+00:00,CISO,BANC,2022.6991383820582
2026-06-11 14:00:00+00:00,CISO,LDWP,1997.497365266543
2026-06-11 14:00:00+00:00,CISO,NEVP,-2109.0688692412796
2026-06-11 14:00:00+00:00,CPLE,DUK,-1955.306076849462
2026-06-11 14:00:00+00:00,DUK,CPLE,2183.8852388444857
2026-06-11 14:00:00+00:00,ERCO,SWPP,1788.9826000788853
2026-06-11 14:00:00+00:00,ISNE,NYIS,1817.55881495891
2026-06-11 14:00:00+00:00,LDWP,CISO,-1785.0187070281845
2026-06-11 14:00:00+00:00,MISO,PJM,-2157.3892134129287
2026-06-11 14:00:00+00:00,MISO,SWPP,2024.749314353496
2026-06-11 14:00:00+00:00,NEVP,CISO,2012.8764764327404
2026-06-11 14:00:00+00:00,NYIS,ISNE,-1988.0500307138482
2026-06-11 14:00:00+00:00,NYIS,PJM,-2118.59457083158
2026-06-11 14:00:00+00:00,PACW,BPAT,-1731.5025067471863
2026-06-11 14:00:00+00:00,PJM,MISO,2077.4694695880326
2026-06-11 14:00:00+00:00,PJM,NYIS,1964.7535328058768
2026-06-11 14:00:00+00:00,SOCO,TVA,1797.4843892835815
2026-06-11 14:00:00+00:00,SWPP,ERCO,-1949.698226276514
2026-06-11 14:00:00+00:00,SWPP,MISO,-2035.83132192873
2026-06-11 14:00:00+00:00,TVA,SOCO,-1931.8819294899743
2026-06-11 14:00:00+00:00,WACM,AZPS,-1727.7944677065163
2026-06-11 15:00:00+00:00,AZPS,WACM,1777.9867714917646
2026-06-11 15:00:00+00:00,BANC,CISO,-1771.8603925083603
2026-06-11 15:00:00+00:00,BPAT,PACW,1881.9826905805555
2026-06-11 15:00:00+00:00,CISO,BANC,1680.1877291859216
2026-06-11 15:00:00+00:00,CISO,LDWP,1856.0310485059529
2026-06-11 15:00:00+00:00,CISO,NEVP,-1861.190839025139
2026-06-11 15:00:00+00:00,CPLE,DUK,-1843.7385201382579
2026-06-11 15:00:00+00:00,DUK,CPLE,1699.2254942159757
2026-06-11 15:00:00+00:00,ERCO,SWPP,1707.6771637403042
2026-06-11 15:00:00+00:00,ISNE,NYIS,1491.3593712024806
2026-06-11 15:00:00+00:00,LDWP,CISO,-1982.249307077153
2026-06-11 15:00:00+00:00,MISO,PJM,-1709.2353523279476
2026-06-11 15:00:00+00:00,MISO,SWPP,1888.065133249922
2026-06-11 15:00:00+00:00,NEVP,CISO,1974.0273289354145
2026-06-11 15:00:00+00:00,NYIS,ISNE,-1691.496512149899
2026-06-11 15:00:00+00:00,NYIS,PJM,-1831.164041460023
2026-06-11 15:00:00+00:00,PACW,BPAT,-1785.446782098462
2026-06-11 15:00:00+00:00,PJM,MISO,1882.1542200613326
2026-06-11 15:00:00+00:00,PJM,NYIS,1796.9846301295502
2026-06-11 15:00:00+00:00,SOCO,TVA,1794.2415290395268
2026-06-11 15:00:00+00:00,SWPP,ERCO,-1846.38320022312
2026-06-11 15:00:00+00:00,SWPP,MISO,-1735.5209513797702
2026-06-11 15:00:00+00:00,TVA,SOCO,-1710.0584459661277
2026-06-11 15:00:00+00:00,WACM,AZPS,-1875.4182018757513
2026-06-11 16:00:00+00:00,AZPS,WACM,1584.8038709271618
2026-06-11 16:00:00+00:00,BANC,CISO,-1630.9083971342452
2026-06-11 16:00:00+00:00,BPAT,PACW,1540.326881313051
2026-06-11 16:00:00+00:00,CISO,BANC,1352.6088314753192
2026-06-11 16:00:00+00:00,CISO,LDWP,1519.6710836269422
2026-06-11 16:00:00+00:00,CISO,NEVP,-1428.0246551930409
2026-06-11 16:00:00+00:00,CPLE,DUK,-1414.7508875590238
2026-06-11 16:00:00+00:00,DUK,CPLE,1435.5274471874352
2026-06-11 16:00:00+00:00,ERCO,SWPP,1636.4789307226486
2026-06-11 16:00:00+00:00,ISNE,NYIS,1455.4706731693486
2026-06-11 16:00:00+00:00,LDWP,CISO,-1515.5696988433851
2026-06-11 16:00:00+00:00,MISO,PJM,-1495.4849858041591
2026-06-11 16:00:00+00:00,MISO,SWPP,1605.6502376628846
2026-06-11 16:00:00+00:00,NEVP,CISO,1587.030881708671
2026-06-11 16:00:00+00:00,NYIS,ISNE,-1629.7348568933587
2026-06-11 16:00:00+00:00,NYIS,PJM,-1654.1518692745622
2026-06-11 16:00:00+00:00,PACW,BPAT,-1616.8785755556041
2026-06-11 16:00:00+00:00,PJM,MISO,1322.455979232072
2026-06-11 16:00:00+00:00,PJM,NYIS,1383.6451156984072
2026-06-11 16:00:00+00:00,SOCO,TVA,1447.344093066116
2026-06-11 16:00:00+00:00,SWPP,ERCO,-1438.293919978823
2026-06-11 16:00:00+00:00,SWPP,MISO,-1722.820287209976
2026-06-11 16:00:00+00:00,TVA,SOCO,-1557.4225335106562
2026-06-11 16:00:00+00:00,WACM,AZPS,-1552.8644033682203
2026-06-11 17:00:00+00:00,AZPS,WACM,1354.796135402841
2026-06-11 17:00:00+00:00,BANC,CISO,-1050.3970964434984
2026-06-11 17:00:00+00:00,BPAT,PACW,1219.6269872384014
2026-06-11 17:00:00+00:00,CISO,BANC,1228.349921178036
2026-06-11 17:00:00+00:00,CISO,LDWP,1144.4707754546264
2026-06-11 17:00:00+00:00,CISO,NEVP,-1059.8130504942874
2026-06-11 17:00:00+00:00,CPLE,DUK,-1241.8429362909842
2026-06-11 17:00:00+00:00,DUK,CPLE,1188.191114841393
2026-06-11 17:00:00+00:00,ERCO,SWPP,1390.075496357038
2026-06-11 17:00:00+00:00,ISNE,NYIS,1400.7829365021794
2026-06-11 17:00:00+00:00,LDWP,CISO,-1129.3287715696733
2026-06-11 17:00:00+00:00,MISO,PJM,-1224.4833490433696
2026-06-11 17:00:00+00:00,MISO,SWPP,1086.1997262531393
2026-06-11 17:00:00+00:00,NEVP,CISO,1187.7705617723295
2026-06-11 17:00:00+00:00,NYIS,ISNE,-1300.0214176048507
2026-06-11 17:00:00+00:00,NYIS,PJM,-1345.3687634813366
2026-06-11 17:00:00+00:00,PACW,BPAT,-1272.6573230096149
2026-06-11 17:00:00+00:00,PJM,MISO,1224.0944073467667
2026-06-11 17:00:00+00:00,PJM,NYIS,1201.9255816684129
2026-06-11 17:00:00+00:00,SOCO,TVA,1097.3313716554183
2026-06-11 17:00:00+00:00,SWPP,ERCO,-1215.899167150057
2026-06-11 17:00:00+00:00,SWPP,MISO,-1074.8545982647806
2026-06-11 17:00:00+00:00,TVA,SOCO,-1023.6613465888133
2026-06-11 17:00:00+00:00,WACM,AZPS,-1273.839960661689
2026-06-11 18:00:00+00:00,AZPS,WACM,825.7495862426296
2026-06-11 18:00:00+00:00,BANC,CISO,-855.726831088215
2026-06-11 18:00:00+00:00,BPAT,PACW,803.2590415883748
2026-06-11 18:00:00+00:00,CISO,BANC,1019.3437624464746
2026-06-11 18:00:00+00:00,CISO,LDWP,864.9809580746143
2026-06-11 18:00:00+00:00,CISO,NEVP,-1085.9440045541028
2026-06-11 18:00:00+00:00,CPLE,DUK,-912.4276346435963
2026-06-11 18:00:00+00:00,DUK,CPLE,810.6815019785292
2026-06-11 18:00:00+00:00,ERCO,SWPP,917.2542223358358
2026-06-11 18:00:00+00:00,ISNE,NYIS,833.3477658771584
2026-06-11 18:00:00+00:00,LDWP,CISO,-1039.8834773001067
2026-06-11 18:00:00+00:00,MISO,PJM,-1153.334154488376
2026-06-11 18:00:00+00:00,MISO,SWPP,954.2418957440772
2026-06-11 18:00:00+00:00,NEVP,CISO,1006.3047407119593
2026-06-11 18:00:00+00:00,NYIS,ISNE,-820.2975671635681
2026-06-11 18:00:00+00:00,NYIS,PJM,-704.9404255688255
2026-06-11 18:00:00+00:00,PACW,BPAT,-986.9279838587939
2026-06-11 18:00:00+00:00,PJM,MISO,672.406791053655
2026-06-11 18:00:00+00:00,PJM,NYIS,1058.6849798389972
2026-06-11 18:00:00+00:00,SOCO,TVA,877.8225170087251
2026-06-11 18:00:00+00:00,SWPP,ERCO,-756.2951650005521
2026-06-11 18:00:00+00:00,SWPP,MISO,-918.2870241271963
2026-06-11 18:00:00+00:00,TVA,SOCO,-803.6834622305654
2026-06-11 18:00:00+00:00,WACM,AZPS,-941.7994209531837
2026-06-11 19:00:00+00:00,AZPS,WACM,521.0237322189797
2026-06-11 19:00:00+00:00,BANC,CISO,-521.7711254083702
2026-06-11 19:00:00+00:00,BPAT,PACW,524.7975187713271
2026-06-11 19:00:00+00:00,CISO,BANC,460.2054282046453
2026-06-11 19:00:00+00:00,CISO,LDWP,521.9843971064532
2026-06-11 19:00:00+00:00,CISO,NEVP,-538.2821495664505
2026-06-11 19:00:00+00:00,CPLE,DUK,-554.7327443253724
2026-06-11 19:00:00+00:00,DUK,CPLE,579.1456380159226
2026-06-11 19:00:00+00:00,ERCO,SWPP,494.4503020062502
2026-06-11 19:00:00+00:00,ISNE,NYIS,494.0853899654778
2026-06-11 19:00:00+00:00,LDWP,CISO,-583.8499037442203
2026-06-11 19:00:00+00:00,MISO,PJM,-425.21470991195014
2026-06-11 19:00:00+00:00,MISO,SWPP,356.59332699355656
2026-06-11 19:00:00+00:00,NEVP,CISO,486.2047253986388
2026-06-11 19:00:00+00:00,NYIS,ISNE,-373.1831729282744
2026-06-11 19:00:00+00:00,NYIS,PJM,-414.15531983604245
2026-06-11 19:00:00+00:00,PACW,BPAT,-341.1497471988741
2026-06-11 19:00:00+00:00,PJM,MISO,512.2017063468359
2026-06-11 19:00:00+00:00,PJM,NYIS,383.32126649311294
2026-06-11 19:00:00+00:00,SOCO,TVA,347.77528538406426
2026-06-11 19:00:00+00:00,SWPP,ERCO,-363.21167502924624
2026-06-11 19:00:00+00:00,SWPP,MISO,-412.234253488754
2026-06-11 19:00:00+00:00,TVA,SOCO,-470.3266290078524
2026-06-11 19:00:00+00:00,WACM,AZPS,-477.7239041816293
2026-06-11 20:00:00+00:00,AZPS,WACM,-23.430191098747656
2026-06-11 20:00:00+00:00,BANC,CISO,-90.46982611994238
2026-06-11 20:00:00+00:00,BPAT,PACW,315.3987574026721
2026-06-11 20:00:00+00:00,CISO,BANC,38.54894984496087
2026-06-11 20:00:00+00:00,CISO,LDWP,22.399391477764027
2026-06-11 20:00:00+00:00,CISO,NEVP,17.69122693713456
2026-06-11 20:00:00+00:00,CPLE,DUK,-184.98919370325115
2026-06-11 20:00:00+00:00,DUK,CPLE,81.15482124685877
2026-06-11 20:00:00+00:00,ERCO,SWPP,-28.568534059398615
2026-06-11 20:00:00+00:00,ISNE,NYIS,148.17263906927784
2026-06-11 20:00:00+00:00,LDWP,CISO,-106.63911963633352
2026-06-11 20:00:00+00:00,MISO,PJM,-217.21272132741686
2026-06-11 20:00:00+00:00,MISO,SWPP,9.219483066791227
2026-06-11 20:00:00+00:00,NEVP,CISO,114.6684369867257
2026-06-11 20:00:00+00:00,NYIS,ISNE,-153.40065466060918
2026-06-11 20:00:00+00:00,NYIS,PJM,133.57677755863742
2026-06-11 20:00:00+00:00,PACW,BPAT,22.141740757251767
2026-06-11 20:00:00+00:00,PJM,MISO,303.05105254768216
2026-06-11 20:00:00+00:00,PJM,NYIS,45.07278465596683
2026-06-11 20:00:00+00:00,SOCO,TVA,232.20980266940137
2026-06-11 20:00:00+00:00,SWPP,ERCO,-156.5708299116696
2026-06-11 20:00:00+00:00,SWPP,MISO,-17.41378288815001
2026-06-11 20:00:00+00:00,TVA,SOCO,-59.33391071994847
2026-06-11 20:00:00+00:00,WACM,AZPS,-224.24782500011156
2026-06-11 21:00:00+00:00,AZPS,WACM,-378.6906142322438
2026-06-11 21:00:00+00:00,BANC,CISO,177.836129118278
2026-06-11 21:00:00+00:00,BPAT,PACW,-157.39446461999242
2026-06-11 21:00:00+00:00,CISO,BANC,-274.3416071706108
2026-06-11 21:00:00+00:00,CISO,LDWP,-440.9161671491289
2026-06-11 21:00:00+00:00,CISO,NEVP,132.91811229070132
2026-06-11 21:00:00+00:00,CPLE,DUK,349.1829648836134
2026-06-11 21:00:00+00:00,DUK,CPLE,-177.8308710064161
2026-06-11 21:00:00+00:00,ERCO,SWPP,-206.3575456657582
2026-06-11 21:00:00+00:00,ISNE,NYIS,-284.8652567472167
2026-06-11 21:00:00+00:00,LDWP,CISO,166.8624382170398
2026-06-11 21:00:00+00:00,MISO,PJM,443.4356381464646
2026-06-11 21:00:00+00:00,MISO,SWPP,-47.9531309084326
2026-06-11 21:00:00+00:00,NEVP,CISO,-307.4917297010734
2026-06-11 21:00:00+00:00,NYIS,ISNE,211.6143824897855
2026-06-11 21:00:00+00:00,NYIS,PJM,337.556761598746
2026-06-11 21:00:00+00:00,PACW,BPAT,367.9846675287333
2026-06-11 21:00:00+00:00,PJM,MISO,-11.169134681287545
2026-06-11 21:00:00+00:00,PJM,NYIS,-99.9383982796673
2026-06-11 21:00:00+00:00,SOCO,TVA,-210.0166241769249
2026-06-11 21:00:00+00:00,SWPP,ERCO,376.51532057868576
2026-06-11 21:00:00+00:00,SWPP,MISO,208.0901887309645
2026-06-11 21:00:00+00:00,TVA,SOCO,369.3287708946994
2026-06-11 21:00:00+00:00,WACM,AZPS,359.0599067204671
2026-06-11 22:00:00+00:00,AZPS,WACM,-375.91379096044534
2026-06-11 22:00:00+00:00,BANC,CISO,533.7245010543893
2026-06-11 22:00:00+00:00,BPAT,PACW,-490.46743932469474
2026-06-11 22:00:00+00:00,CISO,BANC,-336.9919451506788
2026-06-11 22:00:00+00:00,CISO,LDWP,-502.1253741639764
2026-06-11 22:00:00+00:00,CISO,NEVP,664.7190336176576
2026-06-11 22:00:00+00:00,CPLE,DUK,550.0993052579412
2026-06-11 22:00:00+00:00,DUK,CPLE,-510.19779099070445
2026-06-11 22:00:00+00:00,ERCO,SWPP,-763.7855435443383
2026-06-11 22:00:00+00:00,ISNE,NYIS,-562.663261075094
2026-06-11 22:00:00+00:00,LDWP,CISO,694.8384501005933
2026-06-11 22:00:00+00:00,MISO,PJM,623.4065954146038
2026-06-11 22:00:00+00:00,MISO,SWPP,-524.8592991950263
2026-06-11 22:00:00+00:00,NEVP,CISO,-539.2770886398781
2026-06-11 22:00:00+00:00,NYIS,ISNE,606.7971643842363
2026-06-11 22:00:00+00:00,NYIS,PJM,551.2714810689645
2026-06-11 22:00:00+00:00,PACW,BPAT,520.4102122978122
2026-06-11 22:00:00+00:00,PJM,MISO,-590.1320932946307
2026-06-11 22:00:00+00:00,PJM,NYIS,-403.5047241716271
2026-06-11 22:00:00+00:00,SOCO,TVA,-574.5684274390381
2026-06-11 22:00:00+00:00,SWPP,ERCO,564.7294186062461
2026-06-11 22:00:00+00:00,SWPP,MISO,662.7916773123584
2026-06-11 22:00:00+00:00,TVA,SOCO,581.3542702296376
2026-06-11 22:00:00+00:00,WACM,AZPS,722.1058252393517
2026-06-11 23:00:00+00:00,AZPS,WACM,-878.3079675272791
2026-06-11 23:00:00+00:00,BANC,CISO,914.3226692386389
2026-06-11 23:00:00+00:00,BPAT,PACW,-617.9691359869215
2026-06-11 23:00:00+00:00,CISO,BANC,-960.4771960740777
2026-06-11 23:00:00+00:00,CISO,LDWP,-803.5052433159096
2026-06-11 23:00:00+00:00,CISO,NEVP,810.4860524454405
2026-06-11 23:00:00+00:00,CPLE,DUK,581.7835792149544
2026-06-11 23:00:00+00:00,DUK,CPLE,-758.3605049518711
2026-06-11 23:00:00+00:00,ERCO,SWPP,-873.9425062408939
2026-06-11 23:00:00+00:00,ISNE,NYIS,-818.9327277179218
2026-06-11 23:00:00+00:00,LDWP,CISO,946.5738210452525
2026-06-11 23:00:00+00:00,MISO,PJM,1020.6779750255537
2026-06-11 23:00:00+00:00,MISO,SWPP,-743.8849841181943
2026-06-11 23:00:00+00:00,NEVP,CISO,-781.9852517231902
2026-06-11 23:00:00+00:00,NYIS,ISNE,778.0784935663729
2026-06-11 23:00:00+00:00,NYIS,PJM,808.3974022146814
2026-06-11 23:00:00+00:00,PACW,BPAT,684.6433183979138
2026-06-11 23:00:00+00:00,PJM,MISO,-642.3969823095592
2026-06-11 23:00:00+00:00,PJM,NYIS,-795.6992128761286
2026-06-11 23:00:00+00:00,SOCO,TVA,-634.2106524470229
2026-06-11 23:00:00+00:00,SWPP,ERCO,740.6905288712494
2026-06-11 23:00:00+00:00,SWPP,MISO,847.6787462844222
2026-06-11 23:00:00+00:00,TVA,SOCO,847.3621190644116
2026-06-11 23:00:00+00:00,WACM,AZPS,627.4968706269924
2026-06-12 00:00:00+00:00,AZPS,WACM,-880.8150271817077
2026-06-12 00:00:00+00:00,BANC,CISO,994.8528369619033
2026-06-12 00:00:00+00:00,BPAT,PACW,-855.2557239044949
2026-06-12 00:00:00+00:00,CISO,BANC,-785.7943296159668
2026-06-12 00:00:00+00:00,CISO,LDWP,-957.995468066504
2026-06-12 00:00:00+00:00,CISO,NEVP,870.0616594382916
2026-06-12 00:00:00+00:00,CPLE,DUK,772.2641239981762
2026-06-12 00:00:00+00:00,DUK,CPLE,-1012.1014637159324
2026-06-12 00:00:00+00:00,ERCO,SWPP,-812.836741552323
2026-06-12 00:00:00+00:00,ISNE,NYIS,-907.3900574274768
2026-06-12 00:00:00+00:00,LDWP,CISO,1001.9571098349722
2026-06-12 00:00:00+00:00,MISO,PJM,954.5677306772776
2026-06-12 00:00:00+00:00,MISO,SWPP,-974.0541997417953
2026-06-12 00:00:00+00:00,NEVP,CISO,-1151.7475645444847
2026-06-12 00:00:00+00:00,NYIS,ISNE,917.3012472669853
2026-06-12 00:00:00+00:00,NYIS,PJM,977.5836944609953
2026-06-12 00:00:00+00:00,PACW,BPAT,1017.2445458172986
2026-06-12 00:00:00+00:00,PJM,MISO,-724.4980018571379
2026-06-12 00:00:00+00:00,PJM,NYIS,-1020.045663671294
2026-06-12 00:00:00+00:00,SOCO,TVA,-889.0673030038032
2026-06-12 00:00:00+00:00,SWPP,ERCO,988.5659667433947
2026-06-12 00:00:00+00:00,SWPP,MISO,1062.98964071777
2026-06-12 00:00:00+00:00,TVA,SOCO,929.7833197910197
2026-06-12 00:00:00+00:00,WACM,AZPS,1101.0630286598498
2026-06-12 01:00:00+00:00,AZPS,WACM,-825.7424200953648
2026-06-12 01:00:00+00:00,BANC,CISO,1016.500825315231
2026-06-12 01:00:00+00:00,BPAT,PACW,-960.9924495627213
2026-06-12 01:00:00+00:00,CISO,BANC,-968.5736619588639
2026-06-12 01:00:00+00:00,CISO,LDWP,-960.0354653341849
2026-06-12 01:00:00+00:00,CISO,NEVP,980.7334854204455
2026-06-12 01:00:00+00:00,CPLE,DUK,1239.9439006671378
2026-06-12 01:00:00+00:00,DUK,CPLE,-1112.8968775860665
2026-06-12 01:00:00+00:00,ERCO,SWPP,-995.3073108339607
2026-06-12 01:00:00+00:00,ISNE,NYIS,-1193.517331460862
2026-06-12 01:00:00+00:00,LDWP,CISO,963.6495067206216
2026-06-12 01:00:00+00:00,MISO,PJM,995.0090539776835
2026-06-12 01:00:00+00:00,MISO,SWPP,-1015.4914231135887
2026-06-12 01:00:00+00:00,NEVP,CISO,-937.2084583580969
2026-06-12 01:00:00+00:00,NYIS,ISNE,1030.4306154163405
